date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2018-05-18,20730.204793301808,428.18074274767423,0.0,0.0,2.5188584195992476,8230.0,0,691.14
2018-05-19,20755.418566081997,25.213772780189174,0.0,0.0,2.5188584195992476,8240.01,0,696.64
2018-05-20,21448.507648818926,693.0890827369294,0.0,0.0,2.5188584195992476,8515.17,0,713.5
2018-05-21,21147.604822013596,-300.9028268053298,0.0,0.0,2.5188584195992476,8395.71,0,696.21
2018-05-22,20115.024001483085,-1032.5808205305111,0.0,0.0,2.5188584195992476,7985.77,0,642.0
2018-05-23,18885.065435192773,-1229.9585662903119,0.0,0.0,2.5188584195992476,7497.47,0,573.94
2018-05-24,19074.030193831106,188.96475863833257,19074.030193831106,0.0,0.0,7572.49,0,602.08
2018-05-25,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7462.65,0,584.6
2018-05-26,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7333.2,0,584.8
2018-05-27,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7349.12,0,569.23
2018-05-28,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7098.11,0,511.37
2018-05-29,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7460.0,0,566.72
2018-05-30,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7387.88,0,557.11
2018-05-31,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7484.84,0,577.3
2018-06-01,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7521.01,0,578.75
2018-06-02,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7643.52,0,590.62
2018-06-03,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7709.99,0,618.49
2018-06-04,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7500.0,0,590.66
2018-06-05,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7610.0,0,607.31
2018-06-06,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7657.93,0,605.79
2018-06-07,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7691.26,0,604.83
2018-06-08,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7647.19,0,602.61
2018-06-09,19074.030193831106,0.0,19074.030193831106,0.0,0.0,7501.64,0,592.69
2018-06-10,19074.030193831106,0.0,19074.030193831106,0.0,0.0,6770.0,0,525.0
2018-06-11,19074.030193831106,0.0,19074.030193831106,0.0,0.0,6878.0,0,531.59
2018-06-12,19074.030193831106,0.0,19074.030193831106,0.0,0.0,6550.0,0,494.57
2018-06-13,19074.030193831106,0.0,19074.030193831106,0.0,0.0,6297.7,0,477.4
2018-06-14,19074.030193831106,0.0,19074.030193831106,0.0,0.0,6639.66,0,519.82
