,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
161,1229.41,1240.0,1099.76,1115.15,2018-01-28T23:58:44.0000000Z,2018-01-28T00:00:03.0000000Z,2018-01-29T00:00:00.0000000Z,2018-01-28T00:00:00.0000000Z,15800,28997.154007844,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
162,1168.0,1239.0,1141.0,1229.97,2018-01-29T23:59:57.0000000Z,2018-01-29T00:00:03.0000000Z,2018-01-30T00:00:00.0000000Z,2018-01-29T00:00:00.0000000Z,17089,40192.028446467,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
163,1051.54,1172.0,1025.77,1168.0,2018-01-30T23:59:13.0000000Z,2018-01-30T00:00:03.0000000Z,2018-01-31T00:00:00.0000000Z,2018-01-30T00:00:00.0000000Z,25302,60919.048768072,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
164,1110.14,1118.88,1010.77,1054.55,2018-01-31T23:59:36.0000000Z,2018-01-31T00:00:03.0000000Z,2018-02-01T00:00:00.0000000Z,2018-01-31T00:00:00.0000000Z,15671,33791.966835241,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
165,1022.08,1152.05,936.0,1110.14,2018-02-01T23:59:07.0000000Z,2018-02-01T00:00:08.0000000Z,2018-02-02T00:00:00.0000000Z,2018-02-01T00:00:00.0000000Z,39215,90339.087158931,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
166,918.39,1020.16,736.03,1020.16,2018-02-02T23:59:57.0000000Z,2018-02-02T00:00:03.0000000Z,2018-02-03T00:00:00.0000000Z,2018-02-02T00:00:00.0000000Z,13960,36770.749925366,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
167,969.93,995.0,838.67,918.38,2018-02-03T23:58:46.0000000Z,2018-02-03T00:00:10.0000000Z,2018-02-04T00:00:00.0000000Z,2018-02-03T00:00:00.0000000Z,14689,27566.694519343,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
168,826.51,969.96,782.0,969.96,2018-02-04T23:59:57.0000000Z,2018-02-04T00:00:03.0000000Z,2018-02-05T00:00:00.0000000Z,2018-02-04T00:00:00.0000000Z,18773,37124.177727371,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
169,692.36,855.0,632.0,825.13,2018-02-05T23:59:56.0000000Z,2018-02-05T00:00:01.0000000Z,2018-02-06T00:00:00.0000000Z,2018-02-05T00:00:00.0000000Z,46701,128548.33975433,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
170,784.01,808.0,565.0,692.38,2018-02-06T23:59:58.0000000Z,2018-02-06T00:00:04.0000000Z,2018-02-07T00:00:00.0000000Z,2018-02-06T00:00:00.0000000Z,61669,157796.789037984,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
171,752.89,866.05,720.01,788.13,2018-02-07T23:59:59.0000000Z,2018-02-07T00:00:04.0000000Z,2018-02-08T00:00:00.0000000Z,2018-02-07T00:00:00.0000000Z,28081,74932.067846563,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
172,812.01,846.28,748.42,753.95,2018-02-08T23:57:53.0000000Z,2018-02-08T00:00:03.0000000Z,2018-02-09T00:00:00.0000000Z,2018-02-08T00:00:00.0000000Z,13744,40437.712940939,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
173,875.1,883.07,780.88,814.32,2018-02-09T23:59:34.0000000Z,2018-02-09T00:00:04.0000000Z,2018-02-10T00:00:00.0000000Z,2018-02-09T00:00:00.0000000Z,12764,40437.455428005,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
174,851.83,913.3,815.0,879.86,2018-02-10T23:59:52.0000000Z,2018-02-10T00:00:03.0000000Z,2018-02-11T00:00:00.0000000Z,2018-02-10T00:00:00.0000000Z,13919,32319.244746971,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
