,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
41,2018-04-09,2018-04-09T03:39:25.8738226Z,2017-12-28T21:49:03.2916366Z,2018-04-09T03:39:25.8738226Z,2017-12-28T21:49:03.2916366Z,2017-02-15,236,4600915.0,2018-04-09T03:35:15.0000000Z,2017-02-15T11:28:37.0000000Z,TIDEX,Tidex,https://tidex.com/
42,2018-04-08,2018-04-08T23:22:04.2339409Z,2017-08-29T15:47:12.6045423Z,2018-04-08T23:21:54.6904411Z,2017-08-29T15:47:12.6045423Z,2017-08-29,9,4424601.0,2018-04-08T23:22:35.0000000Z,2017-08-29T03:39:38.0000000Z,BITSO,Bitso,https://bitso.com/
43,2018-04-09,2018-04-09T03:21:01.5591113Z,2017-12-28T21:41:59.3272652Z,2018-04-09T03:21:01.5591113Z,2017-12-28T21:41:59.3272652Z,2017-12-28,474,3979424.0,2018-04-09T02:56:30.0000000Z,2017-12-28T20:44:07.0000000Z,LIVECOIN,LiveCoin,https://www.livecoin.net/
44,2018-04-09,2018-04-09T02:05:00.4800000Z,2018-01-24T00:21:38.5122245Z,2018-04-09T02:04:59.4600000Z,2018-01-24T00:21:38.5122245Z,2018-01-19,6,3917307.0,2018-04-09T02:04:10.0000000Z,2018-01-19T02:29:23.0000000Z,MIXCOINS,MixCoins,https://mixcoins.com/
45,2018-04-09,2018-04-09T02:20:11.4896925Z,2017-03-14T20:04:16.0302851Z,2018-04-09T02:20:44.0768843Z,2017-03-14T20:04:16.0302851Z,2011-04-27,9,3230258.0,2018-04-09T02:15:07.0000000Z,2011-04-27T16:05:09.0000000Z,VIRWOX,BirWoX,https://www.virwox.com/
46,2018-03-09,2018-03-09T23:36:52.2233882Z,2017-01-08T23:59:43.3338614Z,2018-03-09T23:36:52.2702686Z,2017-01-08T23:59:43.3338614Z,2017-01-08,179,3185746.0,2018-03-09T23:36:15.4470000Z,2017-01-09T00:21:54.0000000Z,BTER,Bter,https://bter.com/
47,2018-04-09,2018-04-09T02:04:53.6318492Z,2017-03-14T20:05:05.6101304Z,2018-04-09T02:04:41.5134170Z,2017-03-14T20:05:05.6101304Z,2017-03-07,2,2968942.0,2018-04-09T02:04:31.0000000Z,2017-03-07T18:04:01.0000000Z,MERCADOBITCOIN,Mercado Bitcoin,https://www.mercadobitcoin.com.br/
48,2018-04-09,2018-04-09T00:37:59.1361611Z,2018-01-24T00:21:46.8349102Z,2018-04-09T00:38:15.0000000Z,2018-01-24T00:21:46.8349102Z,2018-01-15,30,2880253.0,2018-04-09T00:37:34.0000000Z,2018-01-15T19:18:49.0000000Z,CEXIO,CEX.IO,https://cex.io/
49,2018-04-09,2018-04-09T02:17:57.0340183Z,2017-03-14T20:05:17.8425642Z,2018-04-09T02:17:49.1035857Z,2017-03-14T20:05:17.8425642Z,2011-11-09,16,2608311.0,2018-04-09T02:16:21.0000000Z,2011-11-09T14:33:28.0000000Z,THEROCKTRADING,The Rock Trading LTD.,https://www.therocktrading.com/
50,2018-04-09,2018-04-09T01:24:12.0792163Z,2017-03-14T20:03:37.1002962Z,2018-04-09T01:24:12.0792163Z,2017-03-14T20:03:37.1002962Z,2016-12-02,1889,2516791.0,2018-04-09T01:22:26.1660000Z,2016-12-02T05:15:13.4340000Z,DERIBIT,Deribit,https://www.deribit.com/
