,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
1037,303.83,302.2,303.84,301.01,2017-10-12T18:00:00.0000000Z,2017-10-12T17:00:00.0000000Z,523,2755.08892028,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1038,302.29,303.83,304.31,302.28,2017-10-12T19:00:00.0000000Z,2017-10-12T18:00:00.0000000Z,709,1474.97879614,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1039,304.56,302.28,307.01,301.77,2017-10-12T20:00:00.0000000Z,2017-10-12T19:00:00.0000000Z,823,5453.58762105,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1040,303.09,304.56,305.0,303.03,2017-10-12T21:00:00.0000000Z,2017-10-12T20:00:00.0000000Z,420,862.71072662,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1041,306.03,303.09,306.03,302.69,2017-10-12T22:00:00.0000000Z,2017-10-12T21:00:00.0000000Z,664,1559.93875752,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1042,304.09,306.08,306.38,304.0,2017-10-12T23:00:00.0000000Z,2017-10-12T22:00:00.0000000Z,476,2619.35080273,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1043,302.76,304.94,304.94,302.2,2017-10-13T00:00:00.0000000Z,2017-10-12T23:00:00.0000000Z,456,2168.98985642,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1044,301.32,302.77,303.07,300.25,2017-10-13T01:00:00.0000000Z,2017-10-13T00:00:00.0000000Z,374,2602.2923131,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1045,301.34,301.31,302.21,301.31,2017-10-13T02:00:00.0000000Z,2017-10-13T01:00:00.0000000Z,348,1130.75367872,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1046,299.01,301.34,301.75,299.0,2017-10-13T03:00:00.0000000Z,2017-10-13T02:00:00.0000000Z,598,3965.49308806,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1047,301.75,299.01,302.44,299.01,2017-10-13T04:00:00.0000000Z,2017-10-13T03:00:00.0000000Z,311,1819.75780572,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1048,303.0,301.75,303.0,300.5,2017-10-13T05:00:00.0000000Z,2017-10-13T04:00:00.0000000Z,249,1697.79835107,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1049,312.09,304.09,314.39,303.88,2017-10-13T06:00:00.0000000Z,2017-10-13T05:00:00.0000000Z,1691,6284.08338279,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1050,328.15,312.1,332.33,312.09,2017-10-13T07:00:00.0000000Z,2017-10-13T06:00:00.0000000Z,1958,9092.33841837,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1051,324.77,328.07,328.07,319.08,2017-10-13T08:00:00.0000000Z,2017-10-13T07:00:00.0000000Z,622,4474.05970517,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
